title,control_title,category,priority
Account,Security contact information should be provided for an AWS account,Compliance,p1
Account,AWS account should be part of AWS Organizations,Compliance,p1
ACM,ACM certificates should not expire within 30 days,Compliance,p1
ACM,Ensure that ACM certificates are not in failed state,Compliance,p1
ACM,Ensure that ACM certificates are not in pending validation state,Compliance,p1
ACM,ACM certificates should not use wildcard certificates,Compliance,p1
ACM,Ensure that all the expired ACM certificates are removed,Compliance,p1
ACM,ACM certificates should have transparency logging enabled,Compliance,p1
ACM,ACM certificates should not expire within 30 days,Compliance,p1
ACM,Ensure that ACM certificates are not in failed state,Compliance,p1
ACM,Ensure that ACM certificates are not in pending validation state,Compliance,p1
ACM,ACM certificates should not use wildcard certificates,Compliance,p1
ACM,Ensure that all the expired ACM certificates are removed,Compliance,p1
ACM,ACM certificates should have transparency logging enabled,Compliance,p1
API Gateway,API Gateway methods authorizer should be configured,Compliance,p1
API Gateway,API Gateway REST API public endpoints should be configured with authorizer,Compliance,p1
API Gateway,API Gateway routes should specify an authorization type,Compliance,p1
API Gateway,API Gateway stages should have authorizers configured,Compliance,p1
API Gateway,API Gateway REST API endpoint type should be configured to private,Compliance,p1
API Gateway,API Gateway stage should uses SSL certificate,Compliance,p1
API Gateway,API Gateway stage cache encryption at rest should be enabled,Compliance,p1
API Gateway,API Gateway stage logging should be enabled,Compliance,p1
API Gateway,API Gateway stage should be associated with waf,Compliance,p1
AppStream,AppStream fleet default internet access should be disabled,Compliance,p1
AppSync,AppSync graphql API logging should be enabled,Compliance,p1
Auto Scaling,Auto Scaling groups with a load balancer should use health checks,Compliance,p1
Auto Scaling,Auto Scaling launch config public IP should be disabled,Compliance,p1
Auto Scaling,Auto Scaling group should configure EC2 instances to require Instance Metadata Service Version 2 (IMDSv2),Compliance,p1
Auto Scaling,Auto Scaling groups with a load balancer should use health checks,Compliance,p1
Auto Scaling,Auto Scaling launch config public IP should be disabled,Compliance,p1
Auto Scaling,Auto Scaling group should configure EC2 instances to require Instance Metadata Service Version 2 (IMDSv2),Compliance,p1
Backup,Backup recovery points should be encrypted,Compliance,p1
Backup,Backup recovery points should not expire before retention period,Compliance,p1
CloudFormation,CloudFormation stacks outputs should not have any secrets,Compliance,p1
CloudFront,CloudFront distributions should have origin failover configured,Compliance,p1
CloudFront,CloudFront distributions should encrypt traffic to custom origins,Compliance,p1
