title,control_title,category,priority
Backup,Backup recovery points manual deletion should be disabled,Compliance,p2
Backup,Backup report plan should exist in a region where backup plan is enabled,Compliance,p2
CloudFormation,CloudFormation stacks should have notifications enabled,Compliance,p2
CloudFormation,CloudFormation stacks should have rollback enabled,Compliance,p2
CloudFormation,Cloudformation stacks termination protection should be enabled,Compliance,p2
CloudFront,CloudFront distributions should have field level encryption enabled,Compliance,p2
CloudFront,CloudFront distributions should have geo restriction enabled,Compliance,p2
CloudFront,CloudFront distributions should have origin access identity enabled,Compliance,p2
CloudFront,CloudFront distributions should use SNI to serve HTTPS requests,Compliance,p2
CloudFront,CloudFront distributions should use custom SSL/TLS certificates,Compliance,p2
CloudTrail,CloudTrail trails should be enabled in all regions,Compliance,p2
CloudTrail,CloudTrail trail S3 buckets MFA delete should be enabled,Compliance,p2
CloudTrail,At least one CloudTrail trail should be enabled in the AWS account,Compliance,p2
CloudTrail,CloudTrail trails should have insight selectors and logging enabled,Compliance,p2
CloudWatch,CloudWatch alarm action should be enabled,Compliance,p2
CloudWatch,Ensure a log metric filter and alarm exist for security group changes,Compliance,p2
CodeBuild,CodeBuild project environments should not have privileged mode enabled,Compliance,p2
CodeBuild,CodeBuild projects should have logging enabled,Compliance,p2
DAX,Directory Service directories should have SNS notification enabled,Compliance,p2
DLM,DLM EBS snapshot lifecycle policy should be enabled,Compliance,p2
DMS,DMS replication instances should have automatic minor version upgrade enabled,Compliance,p2
DocumentDB,DocumentDB clusters should have deletion protection enabled,Compliance,p2
DRS,DRS jobs should be enabled,Compliance,p2
DynamoDB,DynamoDB table auto scaling should be enabled,Compliance,p2
DynamoDB,DynamoDB table should have deletion protection enabled,Compliance,p2
EBS,Attached EBS volumes should have delete on termination enabled,Compliance,p2
EC2,EC2 Client VPN endpoints should have client connection logging enabled,Compliance,p2
EC2,EC2 instance detailed monitoring should be enabled,Compliance,p2
EC2,EC2 instance should have EBS optimization enabled,Compliance,p2
EC2,EC2 instance IAM role should not allow defense evasion impact of AWS security services access,Compliance,p2
EC2,EC2 instance IAM role should not allow security group write access,Compliance,p2
ECS,ECS clusters encryption at rest should be enabled,Compliance,p2
ECS,ECS task definitions should have logging enabled,Compliance,p2
EKS,EKS clusters should not use multiple security groups,Compliance,p2
ElastiCache,ElastiCache Redis cluster automatic backup should be enabled with retention period of 15 days or greater,Compliance,p2
ElastiCache,Elastic Beanstalk enhanced health reporting should be enabled,Compliance,p2
Elasticsearch,Elasticsearch domains should have cognito authentication enabled,Compliance,p2
Elasticsearch,Elasticsearch domains should have internal user database enabled,Compliance,p2
ELB,ELB classic load balancers should have cross-zone load balancing enabled,Compliance,p2
ELB,ELB network load balancers should have TLS listener security policy configured,Compliance,p2
IAM,Ensure that IAM Access analyzer is enabled for all regions,Compliance,p2
IAM,IAM Access analyzer should be enabled without findings,Compliance,p2
IAM,Ensure IAM password policy prevents password reuse,Compliance,p2
IAM,IAM password policies for users should have strong configurations,Compliance,p2
